"transaction_id","Student.ID","Passport id","tuition fees","semester","loan","scholarship"
58,"A30W79B50M","H214E7302",819,1,"True","False"
59,"P58R19S32U",,531,1,"True","False"
60,"M19B87Z20V","D288G5298",614,1,"True","False"
62,"E71P34J57U","I113A7725",872,1,"True","False"
63,"U96B32G10C","B105I7772",712,1,"True","False"
64,"J85O89G46H","F237I6757",504,1,"True","False"
65,"F29F90D95Y","H238H6612",901,1,"True","False"
66,"P42Z82R30J","H227I5821",585,1,"True","False"
67,"L13K89E13M","B294H5722",609,1,"True","False"
68,"O43D42W31Y",,587,1,"True","False"
70,"C68J19X65S","E175A7258",859,1,"True","False"
71,,"G263C6339",641,1,"True","False"
72,"F24U56Y56Y","C236F6011",746,1,"True","False"
73,"S34B64X40R","G138E8700",836,1,"True","False"
74,,"H144H6224",754,1,"True","False"
75,"C12H55W58M","D182D6438",948,1,"True","False"
76,"A23J68Q95Z","D176B7482",997,1,"True","False"
77,"E99W73Y46N","A116A5949",610,1,"True","False"
78,"N16E91G49J","D114D5052",602,1,"True","False"
79,,"G194I7411",889,1,"True","False"
80,"K87X34O34F",,722,1,"True","False"
81,"V95B90D13H",,916,1,"True","False"
82,"N48U80S91K","I178D9035",708,1,"True","False"
83,"W83C28W43D","A135H7268",732,1,"False","False"
84,"Z77O99Y48B","I224H7974",960,1,"True","False"
85,"Y49Y11T74M","G288H6343",799,1,"False","True"
86,"Z24D47P30W","D144I7429",911,1,"False","False"
87,"E26O94Y41U","D230D9202",585,1,"True","False"
88,,"C134B8514",620,1,"True","False"
89,,"E277A9345",913,1,"True","False"
90,"A26D49U61M","B165I8646",975,1,"True","False"
91,"P33F76U19D","E282F5666",685,1,"True","False"
92,"T79Z89V20O","C250I7739",507,1,"True","False"
93,"V56E38U67E","I148F8499",608,1,"True","False"
94,"V42V13R33C","I161H6029",526,1,"True","False"
95,"A40E12X76K","B205A8589",833,1,"True","False"
96,"F96U81D87W","H104H6344",906,1,"True","False"
97,"G16E29S55N",,967,1,"True","False"
98,"D34Q23Q41L","C161A7431",724,1,"True","False"
99,"O69K36F35N","F193I898722",991,2,"True","False"
100,"S67Y79P97N","G213H6876",779,2,"True","False"
101,"N95Q83K66L","E122C7613",682,2,"True","False"
102,"F23F98R36E","E236I5047",939,2,"True","False"
103,"X84A95B48H","I119I9824",842,2,"False","True"
104,"B88W98U98H","I206A9659",821,2,"True","False"
105,"N11E77H23W","A114C7641",511,2,"True","False"
106,"T99V54P45S","E300H7502",617,2,"True","False"
107,"L76U91Q56O",,831,2,"True","False"
108,"N95K98P24K","C195F5934",513,2,"True","False"
109,,"F242E6691",608,2,"True","False"
110,"U30F35G12E","D195D9493",786,2,"True","False"
111,"O81P95Z33D","A286D8586",620,2,"True","False"
112,"O44Y33W72F","G226B9008",678,2,"True","False"
113,"L75Y10U21O","G158I8053",597,2,"True","False"
114,"N41U97V40B",,961,2,"True","False"
115,"A88D98J23Z","D292E6677",593,2,"True","False"
116,"X15R75W15M","B107F9561",555,2,"False","False"
117,"A32J48B87E",,529,2,"True","False"
118,"G22T75G72T","C125F7640",591,2,"True","False"
119,"X66T37Y38A","H203E7861",819,2,"False","False"
120,"S11F12B48D","E198F5067",861,2,"True","False"
121,"H52N33P76Z","I229G8627",772,2,"True","False"
122,"Y64Z79C83L","D161I6944",597,2,"False","True"
123,"C59Q96J74F","E168A8556",765,2,"True","False"
124,,"G237G5382",569,2,"True","False"
125,"N80M43W32B","B245H5168",806,2,"True","False"
126,"S85H92U16R","G222G8347",888,2,"True","False"
127,"M61K98C62H","C277F5942",618,2,"True","False"
128,,"F296I6318",852,2,"True","False"
129,"Y68K44O33E","A165E9973",654,2,"False","True"
130,"T23W58G70E","G123C6077",576,2,"True","False"
131,"K50V21E10E","F202B6991",916,2,"True","False"
132,"G49U46T66D","D174I8785",958,2,"True","False"
133,"E34U91R39W","F188G6883",503,2,"True","False"
134,"A38U71K78K","B207I9427",543,2,"True","False"
135,,"A158E6453",717,2,"True","False"
136,"N46D16J18G","G236C7367",772,2,"True","False"
137,"Z75S49G13B","G240A8482",836,2,"False","False"
138,"K42B47E15J","H268D7080",604,2,"True","False"
139,"K71W26G93K","F234E8194",643,2,"True","False"
140,"T59B12O88F","E136A5306",914,2,"True","False"
141,"Q18O55Q96V","C240H8031",655,2,"True","False"
142,"Y86O13W75T","I193G8321",895,2,"False","False"
143,"X25F16F10D","C259B9895",522,2,"False","False"
144,"L69B86K78X","C140A6549",541,2,"True","False"
145,"E39H97B79U","F291D7684",829,2,"True","False"
146,"Z19Q55R87P","C248B6905",566,2,"False","False"
147,"C41L29D24E","E222C5387",957,2,"True","False"
148,"R74V21Y94X","A203C8503",675,2,"True","False"
149,"D80G71U81E","D282H5926",732,2,"True","False"
150,"T73K40M57H","A181A7261",634,2,"True","False"
151,"H81O65A56M","A107E7669",576,2,"True","False"
152,"C55S29L24Z","C180A9432",834,2,"True","False"
153,"X80M28O77L","H258I5775",904,2,"False","False"
154,"S72O94F66J","H207F8884",648,2,"True","False"
155,"Y94W38N25J","C202C5654",700,2,"False","False"
156,"A30W79B50M","H214E7302",553,2,"True","False"
157,"P58R19S32U","E194D7104",522,2,"True","False"
158,"M19B87Z20V","D288G5298",875,2,"True","False"
160,"E71P34J57U",,860,2,"True","False"
161,"U96B32G10C","B105I7772",523,2,"True","False"
162,"J85O89G46H","F237I6757",983,2,"True","False"
163,"F29F90D95Y","H238H6612",864,2,"True","False"
164,"P42Z82R30J","H227I5821",565,2,"True","False"
165,"L13K89E13M","B294H5722",563,2,"True","False"
166,"O43D42W31Y","C233B7199",553,2,"True","False"
168,"C68J19X65S","E175A7258",664,2,"True","False"
169,"E24X91N73C","G263C6339",512,2,"True","False"
170,"F24U56Y56Y",,516,2,"True","False"
171,"S34B64X40R","G138E8700",797,2,"True","False"
172,"Q22Z40C47T","H144H6224",545,2,"True","False"
173,"C12H55W58M","D182D6438",530,2,"True","False"
174,,"D176B7482",742,2,"True","False"
175,"E99W73Y46N","A116A5949",677,2,"True","False"
176,"N16E91G49J","D114D5052",847,2,"True","False"
177,"G38B13O78Q","G194I7411",972,2,"True","False"
178,"K87X34O34F","B103D5597",560,2,"True","False"
179,"V95B90D13H","H252B7358",541,2,"True","False"
180,,"I178D9035",961,2,"True","False"
181,"W83C28W43D","A135H7268",914,2,"False","False"
182,"Z77O99Y48B","I224H7974",932,2,"True","False"
183,"Y49Y11T74M","G288H6343",849,2,"False","True"
184,"Z24D47P30W","D144I7429",610,2,"False","False"
185,"E26O94Y41U","D230D9202",737,2,"True","False"
186,"F74B39J14J","C134B8514",783,2,"True","False"
187,"U43X69O71Q","E277A9345",833,2,"True","False"
188,"A26D49U61M","B165I8646",742,2,"True","False"
189,"P33F76U19D","E282F5666",802,2,"True","False"
190,"T79Z89V20O",,886,2,"True","False"
191,"V56E38U67E","I148F8499",685,2,"True","False"
192,"V42V13R33C","I161H6029",520,2,"True","False"
193,"A40E12X76K","B205A8589",550,2,"True","False"
194,"F96U81D87W","H104H6344",553,2,"True","False"
195,"G16E29S55N","I212A5244",649,2,"True","False"
196,"D34Q23Q41L",,966,2,"True","False"
