"Enrollment date","Date of Birth","Passport id","email","Student.ID","Student.First Name","Student.Last Name","Address – lat ","Address ! Long","Morale %",,,,"student GPA ( letter )","Field exam score","Tution fee ","Cafetria comments","Seniortiy Description","Major=","Major!","Blood type","Gender","Organ Donor","Blood Donor"
"2015 | OCTOBER | 24","15/10/94","G237G5382","EwardSmaragda@sk.edu.pl","C62O81D11Y","Eward","Smaragda",24.0861507830537,-30.2878564325078,0.107058959674412,,,,"C+",19,"1551 USD","Muffins moist, flavors delightful, enjoyed.","Freshman","Computer Science","Computer Science","A-","Female","FALSE",1
"2012 | OCTOBER | 10","19/10/95","B245H5168","RowdyJin+Cun@sk.edu.pl","N80M43W32B","Rowdy","Jin+Cun",78.2121987933707,172.369071467887,0.0874698113569,,,,"C+",90,"920 USD","Chili hearty, cornbread warm, perfect.","Freshman","Chemical Engineering","Chemical Engineering","A-","Female","FALSE",0
"2015 | OCTOBER | 21","03/07/93","G222G8347","MarileeNoemi@sk.edu.pl","S85H92U16R","Marilee","Noemi",21.0805516968563,126.053328684705,0.113625980079453,,,,"A-",76,"1912 USD","Potatoes crispy, gravy smooth, delicious.","Sophmore","Biochemistry","Biochemistry","AB-","Male","TRUE",1
"2014 | OCTOBER | 4","27/12/94","C277F5942","LupitaRui+Chun@sk.edu.pl","M61K98C62H","Lupita","Rui+Chun",-37.4232561616807,-174.376372258885,0.487644864814779,,,,"B-",68,"1587 USD","Fried rice flavorful, veggies colorful.","Freshman","Biology","Biology","O-","Female","FALSE",1
"2013 | OCTOBER | 11","25/11/94","F296I6318","SibeAlptu@sk.edu.pl","V97J99X31P","Sibe","Alptu",70.1558605884234,151.367411815637,0.903978936864815,,,,"C+",31,"1834 USD","Fajitas sizzling, peppers tender, enjoyed.","Sophmore","Mathematics","Mathematics","O-","Female","FALSE",1
"2013 | OCTOBER | 20","15/01/95","A165E9973","DanielleFawzi@sk.edu.pl","Y68K44O33E","Danielle","Fawzi",-52.1619366736286,-59.2495920957072,0.484144830587792,,,,"C+",56,"577 USD","Croissants flaky, jam sweet, satisfying.","Freshman","Environmental Science","Environmental Science","B-","Male","TRUE",1
"2015 | OCTOBER | 3","02/01/93","G123C6077","StefaninoChedva@sk.edu.pl","T23W58G70E","Stefanino","Chedva",,,0.761425641079093,,,,"A+",6,"778 USD","Stir-fry noodles, tofu tasty, veggies crisp.","Senior","Environmental Science","Environmental Science","AB+","Male","TRUE",1
"2012 | OCTOBER | 18","13/09/94","F202B6991","ElmarsNidaa@sk.edu.pl","K50V21E10E","Elmars","Nidaa",-4.7247509717098,-97.0441282744413,0.830558021918902,,,,"A+",24,"1012 USD","Pancakes fluffy, syrup sticky, loved.","Freshman","Mathematics","Mathematics","AB-","Male","FALSE",1
"2014 | OCTOBER | 19","01/04/94","D174I8785","CarmenaHew@sk.edu.pl","G49U46T66D","Carmena","Hew",-28.3665409807394,-151.492696370496,0.740737218489446,,,,"B-",13,"1231 USD","Love the burgers, fries golden.","Freshman","Physics","Physics","A+","Female","FALSE",1
"2013 | OCTOBER | 24","28/09/94","F188G6883","MititFriedo@sk.edu.pl","E34U91R39W","Mitit","Friedo",29.2384436091497,143.482235273817,0.132956080705161,,,,"A-",95,"872 USD","Salads fresh, dressings varied, enjoyed.","Sophmore","Mathematics","Mathematics","A+","Male","TRUE",1
"2014 | OCTOBER | 7","09/06/95","B207I9427","LeneKam Ming@sk.edu.pl","A38U71K78K","Lene","Kam Ming",53.5654155532594,-118.591770858564,0.142187275018575,,,,"C+",21,"738 USD","Soup's hearty, bread warm, satisfying.","Freshman","Chemical Engineering","Chemical Engineering","O+","Female","TRUE",1
"2012 | OCTOBER | 24","06/05/93","A158E6453","BengüsuMaral@sk.edu.pl","K33F51P59O","Bengüsu","Maral",15.5468138239964,-21.2195964848674,0.510936140573827,,,,"C",35,,"Sushi fresh, soy sauce salty.","Senior","Computer Science","Computer Science","O-","Male","TRUE",0
"2015 | OCTOBER | 14","24/04/93","G236C7367","HenrianeMagomed@sk.edu.pl","N46D16J18G","Henriane","Magomed",84.3361751174008,45.227735813627,0.235312295065747,,,,"C",77,"1888 USD","Sandwiches tasty, chips crunchy, satisfied.","Sophmore","Chemical Engineering","Chemical Engineering","AB-","Female","FALSE",0
"2014 | OCTOBER | 10","18/03/94","G240A8482","NadhimFlorenzo@sk.edu.pl","Z75S49G13B","Nadhim","Florenzo",69.6058580595337,-35.5124565188401,0.315580469049296,,,,"B-",18,"793 USD","Desserts decadent, indulgence needed, satisfied.","Freshman","Chemical Engineering","Chemical Engineering","O-","Female","FALSE",0
"2015 | OCTOBER | 24","09/06/93","H268D7080","Su+ChenElve@sk.edu.pl","K42B47E15J","Su+Chen","Elve",-28.7404037764737,-57.908501824354,0.376446158015934,,,,"A-",91,"1934 USD",0,"Freshman","Electrical Engineering","Electrical Engineering","O+","Male","TRUE",1
"2015 | OCTOBER | 10","05/06/94","F234E8194","GochaNeliha@sk.edu.pl","K71W26G93K","Gocha","Neliha",28.4506414225232,-66.9835117969675,0.31418990850522,,,,"B-",24,"1169 USD","Wraps filled, flavors blended, satisfied.","Senior","Electrical Engineering","Electrical Engineering","B+","Female","FALSE",1
"2012 | OCTOBER | 5","24/08/93","E136A5306","BardhaSivananthan@sk.edu.pl","T59B12O88F","Bardha","Sivananthan",74.0581593820456,134.530371331899,0.634233374700935,,,,"C+",13,"1549 USD","Smoothies refreshing, fruit combinations delightful.","Sophmore","Civil Engineering","Civil Engineering","A-","Female","FALSE",1
"2014 | OCTOBER | 16","15/10/94","C240H8031","AldiKatrina@sk.edu.pl","Q18O55Q96V","Aldi","Katrina",-18.1511942237138,-142.412839510128,0.374674960329541,,,,"C+",52,"1350 USD","Cookies chewy, chocolatey, simply satisfying.","Freshman","Environmental Science","Environmental Science","O-","Female","FALSE",0
"2014 | OCTOBER | 26","24/03/94","I193G8321","ReelikaAljoscha@sk.edu.pl","Y86O13W75T","Reelika","Aljoscha",0.450032977860573,165.01223322827,0.168207037575154,,,,"B",46,"726 USD","Stir-fry veggies, tofu flavorful, rice fluffy.","Freshman","Environmental Science","Environmental Science","A+","Female","FALSE",1
"2012 | OCTOBER | 21","27/06/94","C259B9895","AlyaGert@sk.edu.pl","X25F16F10D","Alya","Gert",-57.2756096117708,78.4976421553719,0.257486844017491,,,,"C",94,"1469 USD","Crispy chicken, fries perfect, loved.","Sophmore","Physics","Physics","O+","Female","TRUE",1
"2015 | OCTOBER | 25","08/10/94","C140A6549","EngelbertaArtan@sk.edu.pl","L69B86K78X","Engelberta","Artan",9.44515828606592,-169.207869374605,0.789982313088602,,,,"C+",15,"920 USD","Pasta al dente, sauce rich, enjoyed.","Sophmore","Mechanical Engineering","Mechanical Engineering","AB-","Female","TRUE",1
"2015 | OCTOBER | 13","19/09/95","F291D7684","Kyung+JaRitsa@sk.edu.pl","E39H97B79U","Kyung+Ja","Ritsa",46.0760543134618,93.577242405232,0.878898238732647,,,,"A+",77,"1999 USD","Salads crisp, ingredients fresh, satisfying.","Sophmore","Biology","Biology","AB-","Female","TRUE",0
"2014 | OCTOBER | 18","11/02/93","C248B6905","CristóvãoAdolf@sk.edu.pl","Z19Q55R87P","Cristóvão","Adolf",77.9678213498642,-165.606326247105,0.901314598509382,,,,"C-",15,"1168 USD","Today's specials delicious, portions generous.","Freshman","Mathematics","Mathematics","B-","Male","FALSE",0
"2015 | OCTOBER | 18","16/02/93","E222C5387","MaksymAlexej@sk.edu.pl","C41L29D24E","Maksym","Alexej",-16.9721305355562,-166.575113736947,0.610861607023073,,,,"A+",25,"903 USD","Tacos flavorful, salsa spicy, satisfied.","Freshman","Biochemistry","Biochemistry","A-","Female","FALSE",1
"2013 | OCTOBER | 26","05/02/93","A203C8503","MamtaBirtha@sk.edu.pl","R74V21Y94X","Mamta","Birtha",70.1086810765673,-11.2767511356648,0.67121989765376,,,,"A-",62,"606 USD","Bagels toasted, cream cheese smooth, loved.","Freshman","Electrical Engineering","Electrical Engineering","O+","Female","TRUE",0
"2012 | OCTOBER | 12","11/05/93","D282H5926","QuFranka@sk.edu.pl","D80G71U81E","Qu","Franka",46.120480931458,-150.456004367651,0.791400649066558,,,,"C+",53,"1915 USD","Scones warm, coffee aromatic, perfect.","Sophmore","Chemical Engineering","Chemical Engineering","A-","Male","FALSE",1
"2015 | OCTOBER | 10","16/01/93","A181A7261","SantinoJennita@sk.edu.pl","T73K40M57H","Santino","Jennita",-15.1134166023702,84.5100990225495,0.952240764596816,,,,"A+",87,"1741 USD","Omelets fluffy, fillings flavorful, satisfying.","Freshman","Environmental Science","Environmental Science","O-","Female","FALSE",0
"2014 | OCTOBER | 7","11/04/93","A107E7669","MuhteremQing Jian@sk.edu.pl","H81O65A56M","Muhterem","Qing Jian",-86.5310366946585,-89.1077508263649,0.663570083856061,,,,"A+",79,"1725 USD","Waffles golden, syrup sweet, enjoyed.","Senior","Computer Science","Computer Science","AB-","Male","FALSE",1
"2014 | OCTOBER | 3","13/01/93","C180A9432","QuintusIgnaz@sk.edu.pl","C55S29L24Z","Quintus","Ignaz",-8.88663303157594,153.369054528212,0.219940316236203,,,,"A-",39,"1725 USD","Smoothie bowls refreshing, toppings varied, loved.","Sophmore","Mechanical Engineering","Mechanical Engineering","A-","Male","TRUE",0
"2015 | OCTOBER | 12","06/12/93","H258I5775","OctavieanSheval@sk.edu.pl","X80M28O77L","Octaviean","Sheval",51.1652815452817,-116.025962993064,0.948146640703889,,,,"B",73,"1945 USD","Quesadillas cheesy, guac fresh, yum!","Senior","Chemical Engineering","Chemical Engineering","AB+","Female","TRUE",1
"2014 | OCTOBER | 1","27/10/93","H207F8884","BiggiHafren@sk.edu.pl","S72O94F66J","Biggi","Hafren",-45.9779008163106,-34.0993047063285,0.825200034864807,,,,"B+",56,"1976 USD","Muffins moist, flavors delightful, enjoyed.","Sophmore","Computer Science","Computer Science","A+","Male","TRUE",1
"2015 | OCTOBER | 22","12/10/93","C202C5654","Dong+HwaBeschir@sk.edu.pl","Y94W38N25J","Dong+Hwa","Beschir",52.3145481588747,-76.9355682112516,0.148520992400267,,,,"A+",38,"1466 USD",,"Senior","Electrical Engineering","Electrical Engineering","B+","Male","FALSE",1
"2015 | OCTOBER | 21","14/11/93","H214E7302","AlexandrosMalakeh@sk.edu.pl","A30W79B50M","Alexandros","Malakeh",-75.6797881029796,-79.0216891675163,0.267918842235112,,,,"B",91,"691 USD","Potatoes crispy, gravy smooth, perfect.","Senior","Biology","Biology","A+","Female","TRUE",1
"2013 | OCTOBER | 25","17/08/95","E194D7104","Pei+MingTian+Tian@sk.edu.pl","P58R19S32U","Pei+Ming","Tian+Tian",21.4819533523513,41.2376634395249,0.15709249940236,,,,"A+",8,"1082 USD","Fried rice flavorful, veggies tender, satisfied.","Senior","Mechanical Engineering","Mechanical Engineering","AB+","Female","TRUE",1
"2015 | OCTOBER | 11","15/11/93","D288G5298","DurkMariliza@sk.edu.pl","M19B87Z20V","Durk","Mariliza",67.1257013653661,112.837003105329,0.383482437704465,,,,"B",100,"968 USD","Fajitas sizzling, peppers colorful, enjoyed.","Freshman","Chemical Engineering","Chemical Engineering","O-","Female","TRUE",1
"2013 | OCTOBER | 10","03/07/93","F212E6749","EuniceSo Hwan@sk.edu.pl","Z84Y31Z35Q","Eunice","So Hwan",15.7026441231918,-29.7621707113676,0.802542775918045,,,,"A-",9,"959 USD","Croissants flaky, jam sweet, satisfying.","Sophmore","Mathematics","Mathematics","B-","Male","TRUE",0
"2012 | OCTOBER | 2","21/08/93","I113A7725","EdelmutBobi@sk.edu.pl","E71P34J57U","Edelmut","Bobi",,,0.523247982395276,,,,"C+",73,"1000 USD","Stir-fry noodles, tofu tasty, veggies crisp.","Freshman","Chemical Engineering","Chemical Engineering","O-","Female","FALSE",0
"2015 | OCTOBER | 14","14/05/93","B105I7772","PetjaCesar@sk.edu.pl","U96B32G10C","Petja","Cesar",,,0.61935630007622,,,,"B+",27,"1433 USD","Pancakes fluffy, syrup sticky, perfect.","Sophmore","Biology","Biology","AB+","Male","TRUE",1
"2013 | OCTOBER | 2","22/01/94","F237I6757","FachtnaSeo@sk.edu.pl","J85O89G46H","Fachtna","Seo",36.8071791314038,171.82781911263,0.284237350894129,,,,"A-",23,"1162 USD","Burgers juicy, fries crispy, satisfied.","Freshman","Mechanical Engineering","Mechanical Engineering","AB+","Female","FALSE",0
"2015 | OCTOBER | 18","27/09/94","H238H6612","FiorelloAntu@sk.edu.pl","F29F90D95Y","Fiorello","Antu",5.54560157903281,-155.349772601219,0.72774658169061,,,,"C-",69,"1647 USD","Salads fresh, dressings varied, enjoyed.","Sophmore","Chemical Engineering","Chemical Engineering","O-","Female","FALSE",1
"2015 | OCTOBER | 13","22/02/94","H227I5821","TreaSilvestre@sk.edu.pl","P42Z82R30J","Trea","Silvestre",-86.146868826104,-130.796696703766,0.695518077069706,,,,"B",14,"1158 USD","Soup's warm, bread's soft, satisfying.","Sophmore","Biochemistry","Biochemistry","O-","Female","FALSE",1
"2014 | OCTOBER | 9","27/10/94","B294H5722","ArnholdMaisy@sk.edu.pl","L13K89E13M","Arnhold","Maisy",-4.52903662779329,-80.1296248383792,0.135675293108865,,,,"A+",74,"1662 USD","Sushi rolls, soy sauce savory.","Freshman","Civil Engineering","Civil Engineering","O+","Female","FALSE",1
"2013 | OCTOBER | 8","27/11/93","C233B7199","TifanieSamira@sk.edu.pl","O43D42W31Y","Tifanie","Samira",-89.9595302741457,175.496774892677,0.602663210260527,,,,"C",72,"1218 USD",666,"Freshman","Physics","Physics","O+","Male","TRUE",1
"2013 | OCTOBER | 8","04/05/94","H292E6722","Shi+LiangMagnþóra@sk.edu.pl","Z97G71Y84S","Shi+Liang","Magnþóra",-5.15800669213276,-114.818080912526,0.497468457529361,,,,"B+",64,"1916 USD","Desserts decadent, indulgence needed, satisfied.","Sophmore","Biochemistry","Biochemistry","B-","Male","TRUE",1
"2015 | OCTOBER | 4","25/03/94","E175A7258","CecaAdama@sk.edu.pl","C68J19X65S","Ceca","Adama",3.93800212222202,-82.6959008295735,0.081551483203924,,,,"A+",84,"1112 USD","Rice bowls flavorful, toppings generous, enjoyed.","Senior","Biochemistry","Biochemistry","A+","Male","FALSE",0
"2013 | OCTOBER | 7","23/01/93","G263C6339","SoumiaGligorije@sk.edu.pl","E24X91N73C","Soumia","Gligorije",56.5182934245456,162.855254113071,0.458340008166693,,,,"C",10,"1559 USD","Wraps filled, flavors blended, satisfied.","Senior","Environmental Science","Environmental Science","AB+","Female","TRUE",1
"2012 | OCTOBER | 6","24/12/94","C236F6011","Chien+MinIrfan@sk.edu.pl","F24U56Y56Y","Chien+Min","Irfan",62.4805696596656,-45.5517132526972,0.331645578680738,,,,"A-",88,"1251 USD","Smoothies refreshing, fruit combinations delightful.","Freshman","Biology","Biology","B-","Female","FALSE",1
"2013 | OCTOBER | 26","08/01/95","G138E8700","MargeirSmajo@sk.edu.pl","S34B64X40R","Margeir","Smajo",-11.2891768478976,-71.9339013025462,0.671852275339723,,,,"C",42,"717 USD","Cookies chewy, chocolatey, simply satisfying.","Senior","Environmental Science","Environmental Science","AB+","Male","TRUE",0
"2013 | OCTOBER | 23","24/07/94","H144H6224","PoseidonStojko@sk.edu.pl","Q22Z40C47T","Poseidon","Stojko",-13.2980643404212,-179.781300242123,0.336103720421832,,,,"A+",30,"1231 USD","Stir-fry veggies, tofu flavorful, rice fluffy.","Senior","Biology","Biology","A-","Female","FALSE",1
"2013 | OCTOBER | 4","04/11/94","D182D6438","DicoAty@sk.edu.pl","C12H55W58M","Dico","Aty",-35.6147871580864,129.965418264007,0.706686349690678,,,,"C+",58,"1963 USD","Crispy chicken, fries perfect, loved.","Sophmore","Computer Science","Computer Science","AB-","Male","TRUE",0
"2015 | OCTOBER | 17","28/09/93","D176B7482","AselKaden@sk.edu.pl","A23J68Q95Z","Asel","Kaden",-60.617088098828,-158.065597747141,0.581857781775229,,,,"C-",75,"1186 USD","Pasta al dente, sauce rich, enjoyed.","Senior","Mathematics","Mathematics","AB-","Female","TRUE",0
"2015 | OCTOBER | 10","12/12/94","A116A5949","ThelmaDan+Ling@sk.edu.pl","E99W73Y46N","Thelma","Dan+Ling",-38.9552912103195,-108.263880716495,0.029149511826193,,,,"C",72,"1236 USD","Salads crisp, ingredients fresh, satisfying.","Senior","Biochemistry","Biochemistry","B+","Male","FALSE",1
"2015 | OCTOBER | 16","26/06/95","D114D5052","AlysaCarline@sk.edu.pl","N16E91G49J","Alysa","Carline",50.5611819707419,103.927935305892,0.718523924071358,,,,"A+",97,"905 USD","Today's specials delicious, portions generous.","Senior","Chemical Engineering","Chemical Engineering","O+","Male","TRUE",0
"2012 | OCTOBER | 14","07/04/93","G194I7411","LeriHalida@sk.edu.pl","G38B13O78Q","Leri","Halida",-55.800338351026,-97.8300699575467,0.415193291386529,,,,"C+",91,"1427 USD","Tacos flavorful, salsa spicy, satisfied.","Sophmore","Chemical Engineering","Chemical Engineering","AB-","Male","TRUE",1
"2013 | OCTOBER | 17","01/11/93","B103D5597","KatiGerd@sk.edu.pl","K87X34O34F","Kati","Gerd",30.3563092019293,-170.229339636851,0.865775369224207,,,,"A+",36,"676 USD","Bagels toasted, cream cheese smooth, loved.","Sophmore","Mechanical Engineering","Mechanical Engineering","O-","Male","FALSE",1
"2013 | OCTOBER | 27","14/03/95","H252B7358","Song YuRedon@sk.edu.pl","V95B90D13H","Song Yu","Redon",71.5297856637268,174.151187526119,0.715573971087158,,,,"B-",13,"1196 USD","Scones warm, coffee aromatic, perfect.","Sophmore","Physics","Physics","B+","Male","TRUE",0
"2013 | OCTOBER | 18","06/08/94","I178D9035","GuilainHlver@sk.edu.pl","N48U80S91K","Guilain","Hlver",68.8524439626821,-171.080065167378,0.830472119268052,,,,"C-",40,"1190 USD","Omelets fluffy, fillings flavorful, satisfying.","Freshman","Mathematics","Mathematics","B+","Female","FALSE",1
"2012 | OCTOBER | 2","07/04/93","A135H7268","Li XiaAlexina@sk.edu.pl","W83C28W43D","Li Xia","Alexina",17.872486192739,66.7500524216402,0.366541003359193,,,,"A+",57,"1469 USD","Waffles golden, syrup sweet, enjoyed.","Freshman","Biology","Biology","A-","Male","FALSE",0
"2013 | OCTOBER | 21","13/07/94","I224H7974","ValdemaraAnicette@sk.edu.pl","Z77O99Y48B","Valdemara","Anicette",82.6968741727884,9.54373355175815,0.677527136570183,,,,"A+",39,"776 USD","Smoothie bowls refreshing, toppings varied, loved.","Freshman","Computer Science","Computer Science","B+","Female","FALSE",1
"2012 | OCTOBER | 12","17/09/94","G288H6343","TsubasaErbil@sk.edu.pl","Y49Y11T74M","Tsubasa","Erbil",-71.3221909202514,103.083982768057,0.561412493933415,,,,"A+",42,"1665 USD","Quesadillas cheesy, guac fresh, yum!","Freshman","Physics","Physics","A+","Male","FALSE",1
"2015 | OCTOBER | 10","16/04/93","D144I7429","KenanLina@sk.edu.pl","Z24D47P30W","Kenan","Lina",5.89052984381983,17.1927776984517,0.331723795156832,,,,"C-",48,"1316 USD","Muffins moist, flavors delightful, enjoyed.","Sophmore","Biology","Biology","O-","Female","FALSE",1
"2015 | OCTOBER | 10","14/05/95","D230D9202","Ming+TaoRoelofke@sk.edu.pl","E26O94Y41U","Ming+Tao","Roelofke",-83.6545128791013,93.8595069396357,0.408076533833979,,,,"B",93,"1259 USD","Chili hearty, cornbread warm, loved.","Sophmore","Biology","Biology","B-","Female","TRUE",1
"2012 | OCTOBER | 6","04/07/95","C134B8514","FerasNiv@sk.edu.pl","F74B39J14J","Feras","Niv",-51.1793449195249,18.7730077601065,0.752495308179451,,,,"B-",81,"1227 USD","Potatoes crispy, gravy smooth, perfect.","Senior","Civil Engineering","Civil Engineering","A-","Female","TRUE",0
"2015 | OCTOBER | 15","10/12/95","E277A9345","ÍnaAmédé@sk.edu.pl","U43X69O71Q","Ína","Amédé",-18.3159322499642,-63.4023555489751,0.539472094085795,,,,"B",8,"1612 USD","Fried rice flavorful, veggies tender, satisfied.","Freshman","Mathematics","Mathematics","O-","Female","FALSE",0
