"Date of Birth","Passport id","Student.First Name","Student.Last Name","Blood type","Gender","Organ Donor","Blood Donor"
"04/07/95","C134B8514","Feras","Niv","A-","Female","TRUE",0
"10/12/95","E277A9345","Ína","Amédé","O-","Female","FALSE",0
"13/09/95","B165I8646","Boshko","Balduino","O+","Female","FALSE",1
"18/11/93","E282F5666","Stiina","Everbert","AB+","Female","FALSE",0
"27/11/93","C250I7739","Gwerfyl","Rémi","A+","Male","FALSE",0
"24/11/94","I148F8499","Doritta","Dora","O+","Male","TRUE",1
"28/11/95","I161H6029","Trini","Dong+Keun","AB+","Female","FALSE",1
"28/03/93","B205A8589","Lovise","Ji+Kui","AB+","Female","FALSE",1
"27/03/95","H104H6344","Ishilde","Jalldëz","B+","Female","FALSE",1
"17/06/93","I212A5244","Joselyne","Godi","B-","Female","TRUE",1
"16/02/95","C161A7431","Lyndi","Muamir","O+","Female","FALSE",0
